ATHLETE NAME,TEAM,SPORT,EVENT,MEDAL,CONTINENT,EVENT TYPE
Bin Kasdan Mohamad Aniq,Malaysia,Weightlifting,Men's 55kg,G,Asia,Single
Bonnie Bunyau Gustin,Malaysia,Para Powerlifting,Men's Lightweight,G,Asia,Single
Erry Hidayat Muhammad,Malaysia,Weightlifting,Men's 73kg,S,Asia,Single
Gabriel Gilbert Daim,Malaysia,Aquatics - Diving,Men's Synchronised 3m Springboard,S,Asia,Mixed
Izzah Binti Amzan,Malaysia,Gymnastics - Rhythmic,Clubs,B,Asia,Single
Javen Choong,Malaysia,Table Tennis and Para Table Tennis,Mixed Doubles,S,Asia,Mixed
Jin Wei Goh,Malaysia,Badminton,Mixed Team Event,G,Asia,Mixed
Joe Ee Ng,Malaysia,Gymnastics - Rhythmic,Ball,G,Asia,Single
Joe Ee Ng,Malaysia,Gymnastics - Rhythmic,Ribbon,G,Asia,Single
Karen Lyne,Malaysia,Table Tennis and Para Table Tennis,Mixed Doubles,S,Asia,Mixed
Karen Lyne,Malaysia,Table Tennis and Para Table Tennis,Women's Team,S,Asia,Mixed
Kian Meng Tan,Malaysia,Badminton,Mixed Doubles,B,Asia,Mixed
Kian Meng Tan,Malaysia,Badminton,Mixed Team Event,G,Asia,Mixed
Koong Le Pearly Tan,Malaysia,Badminton,Mixed Team Event,G,Asia,Mixed
Koong Le Pearly Tan,Malaysia,Badminton,Women's Doubles,G,Asia,Mixed
Li Sian Alice Chang,Malaysia,Table Tennis and Para Table Tennis,Women's Team,S,Asia,Mixed
Muhammad Shah Firdaus Sahrom,Malaysia,Cycling - Track and Para Track,Men's Keirin,B,Asia,Single
Muhammad Syafiq Bin Puteh,Malaysia,Aquatics - Diving,Men's Synchronised 3m Springboard,S,Asia,Mixed
Muhammad Syafiq Bin Puteh,Malaysia,Aquatics - Diving,Mixed Synchronised 3m Springboard,B,Asia,Mixed
Nur Ain Nabilah Tarmizi,Malaysia,Lawn Bowls and Para Lawn Bowls,Women's Triples,S,Asia,Mixed
Nur Dhabitah Binti Sabri,Malaysia,Aquatics - Diving,Mixed Synchronised 3m Springboard,B,Asia,Mixed
Nur Dhabitah Binti Sabri,Malaysia,Aquatics - Diving,Women's Synchronised 3m Springboard,S,Asia,Mixed
Nur Dhabitah Binti Sabri,Malaysia,Aquatics - Diving,Women's 3m Springboard,S,Asia,Single
Pei Jing Lai,Malaysia,Badminton,Mixed Doubles,B,Asia,Mixed
Pei Jing Lai,Malaysia,Badminton,Mixed Team Event,G,Asia,Mixed
Peng Soon Chan,Malaysia,Badminton,Mixed Team Event,G,Asia,Mixed
Rachel Arnold,Malaysia,Squash,Women's Doubles,B,Asia,Mixed
Siti Zalina Ahmad,Malaysia,Lawn Bowls and Para Lawn Bowls,Women's Singles,B,Asia,Single
Syafiqa Haidar Afif Abdul Rahman,Malaysia,Lawn Bowls and Para Lawn Bowls,Women's Triples,S,Asia,Mixed
Teng Fong Aaron Chia,Malaysia,Badminton,Men's Doubles,B,Asia,Mixed
Teng Fong Aaron Chia,Malaysia,Badminton,Mixed Team Event,G,Asia,Mixed
Thinaah Muralitharan,Malaysia,Badminton,Mixed Team Event,G,Asia,Mixed
Thinaah Muralitharan,Malaysia,Badminton,Women's Doubles,G,Asia,Mixed
Tze Yong Ng,Malaysia,Badminton,Mixed Team Event,G,Asia,Mixed
Tze Yong Ng,Malaysia,Badminton,Men's Singles,S,Asia,Single
Wooi Yik Soh,Malaysia,Badminton,Men's Doubles,B,Asia,Mixed
Wooi Yik Soh,Malaysia,Badminton,Mixed Team Event,G,Asia,Mixed
Yan Yee Ng,Malaysia,Aquatics - Diving,Women's Synchronised 3m Springboard,S,Asia,Mixed
Yee See Cheah,Malaysia,Badminton,Mixed Team Event,G,Asia,Mixed
Ying Ho,Malaysia,Table Tennis and Para Table Tennis,Women's Team,S,Asia,Mixed
Katryna Esposito,Malta,Judo,Women -48 kg,B,Europe,Single
Christianne Legentil,Mauritius,Judo,Women -57 kg,B,Africa,Single
Louis Richarno Colin,Mauritius,Boxing,Men’s Over 60kg-63.5kg (Light Welterweight),S,Africa,Single
Marie Hanitra Roilya Ranaivosoa,Mauritius,Weightlifting,Women's 49kg,S,Africa,Single
Remi Feuillet,Mauritius,Judo,Men -90 kg,S,Africa,Single
Sebastien Perrinne,Mauritius,Judo,Men +100 kg,B,Africa,Single
Alcinda Helena Panguane,Mozambique,Boxing,Women’s Over 66kg-70kg (Light Middleweight),B,Africa,Single
Rady Adosinda Gramane,Mozambique,Boxing,Women’s Over 70kg-75kg (Middleweight),S,Africa,Single
Tiago Osorio Muxanga,Mozambique,Boxing,Men’s Over 67kg-71kg (Light Middleweight),S,Africa,Single
Alexander Miller,Namibia,Cycling - Mountain Bike,Men's Cross-country,B,Africa,Single
Ananias Shikongo,Namibia,Athletics and Para Athletics,Men's T11/12 100m,B,Africa,Single
Christine Mboma,Namibia,Athletics and Para Athletics,Women's 200m,B,Africa,Single
Helalia Johannes,Namibia,Athletics and Para Athletics,Women's Marathon,B,Africa,Single
Maximina Uepa,Nauru,Weightlifting,Women's 76kg,B,Australia& Oceania,Single
Aaron Gate,New Zealand,Cycling - Track and Para Track,Men's 4000m Team Pursuit,G,Australia& Oceania,Mixed
Aaron Gate,New Zealand,Cycling - Track and Para Track,Men's 4000m Individual Pursuit,G,Australia& Oceania,Single
Aaron Gate,New Zealand,Cycling - Track and Para Track,Men's 40km Points Race,G,Australia& Oceania,Single
Aaron Gate,New Zealand,Cycling - Road,Men's Road Race,G,Australia& Oceania,Single
Akuila Rokolisoa,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Alena Saili,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Amanda Landers-Murphy,New Zealand,Squash,Women's Doubles,G,Australia& Oceania,Mixed
Amelia Kerr,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Andrew Jeffcoat,New Zealand,Aquatics - Swimming and Para Swimming,Men's 50m Backstroke,G,Australia& Oceania,Single
Bailey Mes,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Ben Oliver,New Zealand,Cycling - Mountain Bike,Men's Cross-country,S,Australia& Oceania,Single
Bradly Knipe,New Zealand,Cycling - Track and Para Track,Men's Team Sprint,B,Australia& Oceania,Mixed
Brooke Halliday,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Bryony Botha,New Zealand,Cycling - Track and Para Track,Women's 4000m Team Pursuit,S,Australia& Oceania,Mixed
Bryony Botha,New Zealand,Cycling - Track and Para Track,Women's 3000m Individual Pursuit,G,Australia& Oceania,Single
Caleb Tangitau,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Cameron Gray,New Zealand,Aquatics - Swimming and Para Swimming,Men's 50m Butterfly,B,Australia& Oceania,Single
Campbell Stewart,New Zealand,Cycling - Track and Para Track,Men's 4000m Team Pursuit,G,Australia& Oceania,Mixed
Campbell Stewart,New Zealand,Cycling - Track and Para Track,Men's 40km Points Race,S,Australia& Oceania,Single
Che Clark,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Claudia Green,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Corbin Strong,New Zealand,Cycling - Track and Para Track,Men's 15km Scratch Race,G,Australia& Oceania,Single
David Andrew Liti,New Zealand,Weightlifting,Men's 109+kg,S,Australia& Oceania,Single
Dylan Collier,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Eden Carson,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Ellesse Andrews,New Zealand,Cycling - Track and Para Track,Women's 4000m Team Pursuit,S,Australia& Oceania,Mixed
Ellesse Andrews,New Zealand,Cycling - Track and Para Track,Women's Team Sprint,G,Australia& Oceania,Mixed
Ellesse Andrews,New Zealand,Cycling - Track and Para Track,Women's Keirin,G,Australia& Oceania,Single
Ellesse Andrews,New Zealand,Cycling - Track and Para Track,Women's Sprint,G,Australia& Oceania,Single
Emily Shearman,New Zealand,Cycling - Track and Para Track,Women's 4000m Team Pursuit,S,Australia& Oceania,Mixed
Fran Jonas,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Georgia Plimmer,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Georgia Williams,New Zealand,Cycling - Road,Women's Individual Time Trial,B,Australia& Oceania,Single
Gina Crampton,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Grace Nweke,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Hamish Kerr,New Zealand,Athletics and Para Athletics,Men's High Jump,G,Australia& Oceania,Single
Hannah Rowe,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Hayden Wilde,New Zealand,Triathlon and Para Triathlon,Men's Individual (Sprint Distance),S,Australia& Oceania,Single
Hayley Jensen,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Imogen Ayris,New Zealand,Athletics and Para Athletics,Women's Pole Vault,B,Australia& Oceania,Single
Izzy Gaze,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Jacko Gill,New Zealand,Athletics and Para Athletics,Men's Shot Put,S,Australia& Oceania,Single
Jazmin Felix-Hotham,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Jesse Reynolds,New Zealand,Aquatics - Swimming and Para Swimming,Men's 100m Backstroke S9,S,Australia& Oceania,Single
Jessica McFadyen,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Joe Webber,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Joelle King,New Zealand,Squash,Mixed Doubles,G,Australia& Oceania,Mixed
Joelle King,New Zealand,Squash,Women's Doubles,G,Australia& Oceania,Mixed
Jordan Kerby,New Zealand,Cycling - Track and Para Track,Men's 4000m Team Pursuit,G,Australia& Oceania,Mixed
Joshua Willmer,New Zealand,Aquatics - Swimming and Para Swimming,Men's 100m Breaststroke SB8,G,Australia& Oceania,Single
Julia Ratcliffe,New Zealand,Athletics and Para Athletics,Women's Hammer Throw,S,Australia& Oceania,Single
Kate Heffernan,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Katelyn Inch,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Pairs,B,Australia& Oceania,Mixed
Kayla Johnson,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Kelly Brazier,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Kelly Jury,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Kody Andrews,New Zealand,Judo,Men +100 kg,S,Australia& Oceania,Single
Lea Tahuhu,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Leroy Carter,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Leuila Mau'u,New Zealand,Boxing,Men’s Over 92kg (Super Heavyweight),B,Australia& Oceania,Single
Lewis Clareburt,New Zealand,Aquatics - Swimming and Para Swimming,Men's 200m Butterfly,G,Australia& Oceania,Single
Lewis Clareburt,New Zealand,Aquatics - Swimming and Para Swimming,Men's 200m Individual Medley,B,Australia& Oceania,Single
Lewis Clareburt,New Zealand,Aquatics - Swimming and Para Swimming,Men's 400m Individual Medley,G,Australia& Oceania,Single
Maddison-Lee Wesche,New Zealand,Athletics and Para Athletics,Women's Shot Put,B,Australia& Oceania,Single
Maddy Green,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Maia Wilson,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Michaela Blyde,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Michaela Drummond,New Zealand,Cycling - Track and Para Track,Women's 4000m Team Pursuit,S,Australia& Oceania,Mixed
Michaela Drummond,New Zealand,Cycling - Track and Para Track,Women's 10km Scratch Race,S,Australia& Oceania,Single
Moira de Villiers,New Zealand,Judo,Women -78 kg,B,Australia& Oceania,Single
Moses Leo,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Ngarohi Mcgarvey-Black,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Niall Williams,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Nicole Toomey,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Fours,B,Australia& Oceania,Mixed
Nicole Toomey,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Triples,B,Australia& Oceania,Mixed
Olivia King,New Zealand,Cycling - Track and Para Track,Women's Team Sprint,G,Australia& Oceania,Mixed
Paul Coll,New Zealand,Squash,Mixed Doubles,G,Australia& Oceania,Mixed
Paul Coll,New Zealand,Squash,Men's Singles,G,Australia& Oceania,Single
Phoenix Karaka,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Portia Woodman,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Rebecca Petch,New Zealand,Cycling - Track and Para Track,Women's Team Sprint,G,Australia& Oceania,Mixed
Regan Ware,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Risaleaana Pouri-Lane,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Rosemary Mair,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Sam Dakin,New Zealand,Cycling - Track and Para Track,Men's Team Sprint,B,Australia& Oceania,Mixed
Sam Dickson,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Sam Webster,New Zealand,Cycling - Track and Para Track,Men's Team Sprint,B,Australia& Oceania,Mixed
Samuel Gaze,New Zealand,Cycling - Mountain Bike,Men's Cross-country,G,Australia& Oceania,Single
Sarah Hirini,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Scott Curry,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Selina Goddard,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Fours,B,Australia& Oceania,Mixed
Selina Goddard,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Pairs,B,Australia& Oceania,Mixed
Shannon Saunders,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Shiray Kaka,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Sione Molia,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Sophie Devine,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Sophie Pascoe,New Zealand,Aquatics - Swimming and Para Swimming,Women's 100m Freestyle S9,G,Australia& Oceania,Single
Stacey Fluhler,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Sulu Fitzpatrick,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Suzie Bates,New Zealand,Cricket T20,Cricket T20,B,Australia& Oceania,Mixed
Sydnee Andrews,New Zealand,Judo,Women +78 kg,B,Australia& Oceania,Single
Tayla Bruce,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Fours,B,Australia& Oceania,Mixed
Tayla Bruce,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Triples,B,Australia& Oceania,Mixed
Tayla Ford,New Zealand,Wrestling,Women's Freestyle 68 kg,B,Australia& Oceania,Single
Te Paea Selby-Rickit,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Tenika Willison,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Theresa Fitzpatrick,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Tom Sexton,New Zealand,Cycling - Track and Para Track,Men's 4000m Team Pursuit,G,Australia& Oceania,Mixed
Tom Sexton,New Zealand,Cycling - Track and Para Track,Men's 4000m Individual Pursuit,S,Australia& Oceania,Single
Tom Walsh,New Zealand,Athletics and Para Athletics,Men's Shot Put,G,Australia& Oceania,Single
Tone Ng Shiu,New Zealand,Rugby Sevens,Men,B,Australia& Oceania,Mixed
Tupou Neiufi,New Zealand,Aquatics - Swimming and Para Swimming,Women's 100m Backstroke S8,S,Australia& Oceania,Single
Tyla Nathan-Wong,New Zealand,Rugby Sevens,Women,B,Australia& Oceania,Mixed
Val Smith,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Fours,B,Australia& Oceania,Mixed
Val Smith,New Zealand,Lawn Bowls and Para Lawn Bowls,Women's Triples,B,Australia& Oceania,Mixed
Whitney Souness,New Zealand,Netball,Netball,B,Australia& Oceania,Mixed
Adijat Adenike Olarinoye,Nigeria,Weightlifting,Women's 55kg,G,Africa,Single
Alaba Olukunle Akintola,Nigeria,Athletics and Para Athletics,Men's 4 x 100m Relay,B,Africa,Mixed
Alice Folashade Oluwafemiayo,Nigeria,Para Powerlifting,Women's Heavyweight,G,Africa,Single
Blessing Oborududu,Nigeria,Wrestling,Women's Freestyle 68 kg,G,Africa,Single
Bose Patricia Omolayo,Nigeria,Para Powerlifting,Women's Heavyweight,S,Africa,Single
Chioma Onyekwere,Nigeria,Athletics and Para Athletics,Women's Discus Throw,G,Africa,Single
Cynthia Ogunsemilore,Nigeria,Boxing,Women’s Over 57kg-60kg (Lightweight),B,Africa,Single
Ebikewenimo Welson,Nigeria,Wrestling,Men's Freestyle 57 kg,S,Africa,Single
Edidiong Joseph Umoafia,Nigeria,Weightlifting,Men's 67kg,B,Africa,Single
Elizabeth Oshoba,Nigeria,Boxing,Women’s Over 54kg-57kg (Featherweight),S,Africa,Single
Ese Brume,Nigeria,Athletics and Para Athletics,Women's Long Jump,G,Africa,Single
Esther Omolayo Kolawole,Nigeria,Wrestling,Women's Freestyle 62 kg,B,Africa,Single
Eucharia Njideka Iyiazi,Nigeria,Athletics and Para Athletics,Women's F55-57 Shot Put,G,Africa,Single
Faith Obazuaye,Nigeria,Table Tennis and Para Table Tennis,Women's Singles Classes 6-10,B,Africa,Single
Favour Ofili,Nigeria,Athletics and Para Athletics,Women's 4 x 100m Relay,G,Africa,Mixed
Favour Ofili,Nigeria,Athletics and Para Athletics,Women's 200m,S,Africa,Single
Favour Oghene Tejiri Ashe,Nigeria,Athletics and Para Athletics,Men's 4 x 100m Relay,B,Africa,Mixed
Goodness Chiemerie Nwachukwu,Nigeria,Athletics and Para Athletics,Women's Discus Throw F42-44/61-64,G,Africa,Single
Hannah Amuchechi Rueben,Nigeria,Wrestling,Women's Freestyle 76 kg,S,Africa,Single
Ifeanyi Onyekwere,Nigeria,Boxing,Men’s Over 92kg (Super Heavyweight),B,Africa,Single
Ifechukwude Christiana Ikpeoyi,Nigeria,Table Tennis and Para Table Tennis,Women's Singles Classes 3-5,S,Africa,Single
Ikechukwu Christian Obichukwu,Nigeria,Para Powerlifting,Men's Heavyweight,S,Africa,Single
Innocent Nnamdi,Nigeria,Para Powerlifting,Men's Lightweight,B,Africa,Single
Isau Ogunkunle,Nigeria,Table Tennis and Para Table Tennis,Men's Singles Classes 3-5,B,Africa,Single
Islamiyat Adebukola Yusuf,Nigeria,Weightlifting,Women's 64kg,B,Africa,Single
Jacinta Umunnakwe,Nigeria,Boxing,Women’s Over 70kg-75kg (Middleweight),B,Africa,Single
Joy Chinenye Udo Gabriel,Nigeria,Athletics and Para Athletics,Women's 4 x 100m Relay,G,Africa,Mixed
Mary Taiwo Osijo,Nigeria,Weightlifting,Women's 87kg,B,Africa,Single
Miesinnei Mercy Genesis,Nigeria,Wrestling,Women's Freestyle 50 kg,G,Africa,Single
Nasiru Sule,Nigeria,Table Tennis and Para Table Tennis,Men's Singles Classes 3-5,S,Africa,Single
Nzubechi Grace Nwokocha,Nigeria,Athletics and Para Athletics,Women's 4 x 100m Relay,G,Africa,Mixed
Obiageri Amaechi,Nigeria,Athletics and Para Athletics,Women's Discus Throw,B,Africa,Single
Odunayo Folasade Adekuoroye,Nigeria,Wrestling,Women's Freestyle 57 kg,G,Africa,Single
Ogbonna Emmanuel John,Nigeria,Wrestling,Men's Freestyle 74 kg,B,Africa,Single
Rafiatu Folashade Lawal,Nigeria,Weightlifting,Women's 59kg,G,Africa,Single
Raymond Ekevwo,Nigeria,Athletics and Para Athletics,Men's 4 x 100m Relay,B,Africa,Mixed
Rosemary Chukwuma,Nigeria,Athletics and Para Athletics,Women's 4 x 100m Relay,G,Africa,Mixed
Seye Ogunlewe,Nigeria,Athletics and Para Athletics,Men's 4 x 100m Relay,B,Africa,Mixed
Taiwo Liadi,Nigeria,Weightlifting,Women's 76kg,S,Africa,Single
Tobi Amusan,Nigeria,Athletics and Para Athletics,Women's 4 x 100m Relay,G,Africa,Mixed
Tobi Amusan,Nigeria,Athletics and Para Athletics,Women's 100m Hurdles,G,Africa,Single
Udodi Chudi Onwuzurike,Nigeria,Athletics and Para Athletics,Men's 4 x 100m Relay,B,Africa,Mixed
Ugochi Constance Alam,Nigeria,Athletics and Para Athletics,Women's F55-57 Shot Put,B,Africa,Single
Duken Holo tutakitoa-Williams,Niue,Boxing,Men’s Over 86kg-92kg (Heavyweight),B,Australia& Oceania,Single
Adam McKeown,Northern Ireland,Lawn Bowls and Para Lawn Bowls,Men's Fours,G,Europe,Mixed
Aidan Walsh,Northern Ireland,Boxing,Men’s Over 67kg-71kg (Light Middleweight),G,Europe,Single
Amy Sara Broadhurst,Northern Ireland,Boxing,Women’s Over 57kg-60kg (Lightweight),G,Europe,Single
Barry McClements,Northern Ireland,Aquatics - Swimming and Para Swimming,Men's 100m Backstroke S9,B,Europe,Single
Bethany Firth,Northern Ireland,Aquatics - Swimming and Para Swimming,Women's 200m Freestyle S14,G,Europe,Single
Carly Mc Naul,Northern Ireland,Boxing,Women’s Over 48kg-50kg (Light Flyweight),S,Europe,Single
Chloe Maccombe,Northern Ireland,Triathlon and Para Triathlon,Women's PTVI,S,Europe,Single
Ciara Mageean,Northern Ireland,Athletics and Para Athletics,Women's 1500m,S,Europe,Single
Daniel Wiffen,Northern Ireland,Aquatics - Swimming and Para Swimming,Men's 1500m Freestyle,S,Europe,Single
Dylan James Eagleson,Northern Ireland,Boxing,Men’s Over 51kg-54kg (Bantamweight),G,Europe,Single
Eireann Cathlin Nugent,Northern Ireland,Boxing,Women’s Over 66kg-70kg (Light Middleweight),B,Europe,Single
Gary Kelly,Northern Ireland,Lawn Bowls and Para Lawn Bowls,Men's Singles,S,Europe,Single
Ian McClure,Northern Ireland,Lawn Bowls and Para Lawn Bowls,Men's Fours,G,Europe,Mixed
Jude Gallagher,Northern Ireland,Boxing,Men’s Over 54kg- 57kg (Featherweight),G,Europe,Single
Kate O'Connor,Northern Ireland,Athletics and Para Athletics,Women's Heptathlon,S,Europe,Single
Martin McHugh,Northern Ireland,Lawn Bowls and Para Lawn Bowls,Men's Fours,G,Europe,Mixed
Michaela Walsh,Northern Ireland,Boxing,Women’s Over 54kg-57kg (Featherweight),G,Europe,Single
Nathon Burns,Northern Ireland,Judo,Men -66 kg,B,Europe,Single
Rhys Mc Clenaghan,Northern Ireland,Gymnastics - Artistic,Men's Pommel Horse,S,Europe,Single
Sam Barkley,Northern Ireland,Lawn Bowls and Para Lawn Bowls,Men's Fours,G,Europe,Mixed
Yasmin Javadian,Northern Ireland,Judo,Women -52 kg,B,Europe,Single
Ali Asad,Pakistan,Wrestling,Men's Freestyle 57 kg,B,Asia,Single
Arshad Nadeem,Pakistan,Athletics and Para Athletics,Men's Javelin Throw,G,Asia,Single
Inayat Ullah,Pakistan,Wrestling,Men's Freestyle 65 kg,B,Asia,Single
Muhammad Inam,Pakistan,Wrestling,Men's Freestyle 86 kg,S,Asia,Single
Muhammad Nooh Dastgir Butt,Pakistan,Weightlifting,Men's 109+kg,G,Asia,Single
Muhammad Sharif Tahir,Pakistan,Wrestling,Men's Freestyle 74 kg,S,Asia,Single
Shah Hussain Shah,Pakistan,Judo,Men -90 kg,B,Asia,Single
Zaman Anwar,Pakistan,Wrestling,Men's Freestyle 125 kg,S,Asia,Single
Morea Baru,Papua New Guinea,Weightlifting,Men's 61kg,S,Australia& Oceania,Single
Ato Leau Plodzicki-Faoagali,Samoa,Boxing,Men’s Over 86kg-92kg (Heavyweight),S,Australia& Oceania,Single
Don Opeloge,Samoa,Weightlifting,Men's 96kg,G,Australia& Oceania,Single
Feagaiga Stowers,Samoa,Weightlifting,Women's 87+kg,S,Australia& Oceania,Single
Jack Hitila Opeloge,Samoa,Weightlifting,Men's 109kg,S,Australia& Oceania,Single
Vaipava Nevo Ioane,Samoa,Weightlifting,Men's 67kg,S,Australia& Oceania,Single
Aileen McGlynn,Scotland,Cycling - Track and Para Track,Women's Tandem B - 1000m Time Trial,B,Europe,Mixed
Aileen McGlynn,Scotland,Cycling - Track and Para Track,Women's Tandem B - Sprint,S,Europe,Mixed
Alex Marshall,Scotland,Lawn Bowls and Para Lawn Bowls,Men's Pairs,B,Europe,Mixed
Beth Dobbin,Scotland,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Europe,Mixed
Beth Potter,Scotland,Triathlon and Para Triathlon,Women's Individual (Sprint Distance),B,Europe,Single
Craig Benson,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe,Mixed
Craig McNally,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe,Mixed
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe,Mixed
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,B,Europe,Mixed
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 100m Freestyle,B,Europe,Single
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 200m Freestyle,G,Europe,Single
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 200m Individual Medley,G,Europe,Single
Duncan Scott,Scotland,Aquatics - Swimming and Para Swimming,Men's 400m Individual Medley,B,Europe,Single
Eilish McColgan,Scotland,Athletics and Para Athletics,"Women's 10,000m",G,Europe,Single
Eilish McColgan,Scotland,Athletics and Para Athletics,Women's 5000m,S,Europe,Single
Evan Jones,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe,Mixed
Evan Jones,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 200m Freestyle Relay,B,Europe,Mixed
Finlay Allan,Scotland,Judo,Men -66 kg,S,Europe,Single
Finn Crockett,Scotland,Cycling - Road,Men's Road Race,B,Europe,Single
Garry Brown,Scotland,Lawn Bowls and Para Lawn Bowls,Para Men's Pairs B6-B8,G,Europe,Mixed
George Miller,Scotland,Lawn Bowls and Para Lawn Bowls,Para Mixed Pairs B2/B3,G,Europe,Mixed
Grace Elizabeth Reid,Scotland,Aquatics - Diving,Mixed Synchronised 3m Springboard,G,Europe,Mixed
Greg Lobban,Scotland,Squash,Men's Doubles,B,Europe,Mixed
Gregor Swinney,Scotland,Aquatics - Swimming and Para Swimming,Men's 4 x 100m Medley Relay,B,Europe,Mixed
Iain McLean,Scotland,Lawn Bowls and Para Lawn Bowls,Men's Singles,B,Europe,Single
Jack Carlin,Scotland,Cycling - Track and Para Track,Men's Keirin,S,Europe,Single
Jack Carlin,Scotland,Cycling - Track and Para Track,Men's Sprint,B,Europe,Single
Jake Wightman,Scotland,Athletics and Para Athletics,Men's 1500m,B,Europe,Single
James Philip Heatly,Scotland,Aquatics - Diving,Mixed Synchronised 3m Springboard,G,Europe,Mixed
Jill Cherry,Scotland,Athletics and Para Athletics,Women's 4 x 400m Relay,B,Europe,Mixed
John Archibald,Scotland,Cycling - Track and Para Track,Men's 15km Scratch Race,S,Europe,Single
Katie Shanahan,Scotland,Aquatics - Swimming and Para Swimming,Women's 200m Backstroke,B,Europe,Single
Katie Shanahan,Scotland,Aquatics - Swimming and Para Swimming,Women's 400m Individual Medley,B,Europe,Single
